,codigo,unid
0,CMP_AAB-AB-16-LS_060X060,UN
1,CMP_ACB-GRM-ESM,M2
2,CMP_ACB-INT-PRT-GNT-CLR,ML
3,CMP_ACB-MUD-IPE,UN
4,CMP_CAL-EXT-PAV,M2
5,CMP_CAL-INT-CCG,M2
6,CMP_CAL-INT-CON,M2
7,CMP_CAL-INT-DEC-MAD,M2
8,CMP_CAL-INT-VAS,M2
9,CMP_COB-CLH-RUF-BRC,ML
10,CMP_COB-EST-TLD-CTR-FIB,M2
11,CMP_COB-EST-TLD-SOB-FIB,M2
12,CMP_CTO-BWC-PRV,VB
13,CMP_CTO-CCB-GRS,VB
14,CMP_CTO-CDA-EQM,VB
15,CMP_CTO-CON-MTR,VB
16,CMP_CTO-CSM-ELE,VB
17,CMP_CTO-CSM-H20,VB
18,CMP_CTO-EPI-5PS,VB
19,CMP_CTO-INS-PLO,VB
20,CMP_CTO-TPM,ML
21,CMP_ELE-ACB-PAA,M2
22,CMP_ELE-PAA,M2
23,CMP_EPO-TAX-APR,VB
24,CMP_EPO-TAX-ART,VB
25,CMP_EPO-TAX-AVR,VB
26,CMP_EPO-TAX-HBT,VB
27,CMP_EPO-TAX-IMP,VB
28,CMP_EPO-TAX-PRT,VB
29,CMP_EPO-TAX-RRT,VB
30,CMP_EPO-TAX-VCA,VB
31,CMP_ESQ-MET-ALC-BRC-60X60,UN
32,CMP_ESQ-MET-JNL-32-VL-M2,M2
33,CMP_ESQ-MET-PJT-32-VL-M2,M2
34,CMP_ESQ-PRT-MAD-060X210-BRC-SMO-CPR,UN
35,CMP_ESQ-PRT-MAD-070X210-BRC-COR-CPR,UN
36,CMP_ESQ-PRT-MAD-070X210-BRC-SMO-CPR,UN
37,CMP_ESQ-PRT-MAD-080X210-BRC-MMC-CFR,UN
38,CMP_ESQ-PRT-MAD-080X210-BRC-SMO,UN
39,CMP_ESQ-PRT-MAD-090X210-BRC-MMC-CFR-CKP,UN
40,CMP_FNO-FOR-ENT,VB
41,CMP_FOR-GES-OBR-TBC-INT,M2
42,CMP_GAS-ABG,UN
43,CMP_HID-AFR-AQN-ESG,M2
44,CMP_HIS-FQE-ACH-BWC-PAA,UN
45,CMP_HIS-FQE-ACH-CAS-PAA,UN
46,CMP_ICP-CHR-PMC-065X055,UN
47,CMP_ICP-GDC-INO,ML
48,CMP_ICP-GDC-VDR-TOR,ML
49,CMP_ICP-PSC-160-GRD,M2
50,CMP_INF-FUN-012-RAD-FIB,M2
51,CMP_INF-FUN-012-RAD-TEL,M2
52,CMP_INF-LVT,VB
53,CMP_INF-PRT-220-PED-ABR,UN
54,CMP_INF-PRT-420-VEI-BSC,UN
55,CMP_INF-SON,VB
56,CMP_INF-VIG-BRD-020X040,ML
57,CMP_INS-PRV,VB
58,CMP_JAP-MX-25-VM-080X078,UN
59,CMP_LAF-LPZ-FNL-OBR,M2
60,CMP_LIG-INF-CDM-MTS,M2
61,CMP_LIG-INF-CDM-UNI,VB
62,CMP_MUR-BLA-260,ML
63,CMP_MUR-CNT-BLA-180,ML
64,CMP_PAP-AB-25-MI-090X214,UN
65,CMP_PIN-MUR-TEX,M2
66,CMP_PIS-CNT-004,M2
67,CMP_PIS-LMN-CLR-RDP-EPS,M2
68,CMP_PIS-LMN-ESC-RDP-EPS,M2
69,CMP_PIS-RCR-PRC-060X060-BCL-RTF-ACT-EXT,M2
70,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-EXT,M2
71,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT,M2
72,CMP_PIS-RCR-PRC-060X060-CCL-RTF-ACT-INT-AUM,M2
73,CMP_PIS-RCR-PRC-090X090-BCL-RTF-PLD-INT,M2
74,CMP_PIS-RCR-PRC-090X090-BCL-RTF-PLD-INT-AUM,M2
75,CMP_PIS-RCR-PRC-090X090-MMR-RTF-PLD-INT-AUM,M2
76,CMP_PNT-EXT-CCL-TXT-PRJ,M2
77,CMP_PNT-EXT-CES-TXT-PRJ,M2
78,CMP_PNT-EXT-CMD-TXT-PRJ,M2
79,CMP_PNT-EXT-MCL-TXT-PRJ,M2
80,CMP_PNT-EXT-MES-TXT-PRJ,M2
81,CMP_PNT-INT-BRC-ACR,M2
82,CMP_PNT-INT-CCL-ACR,M2
83,CMP_PRD-RBC-1FC,M2
84,CMP_PRD-RBC-1FC-EXT,M2
85,CMP_REB-MUR,M2
86,CMP_RVP-EXT-PRC-120X020-MAD-RET-ACT,M2
87,CMP_RVP-EXT-PST-015X015-BRC,M2
88,CMP_RVP-INT-PRC-060X060-CCL-RTF-ACT,M2
89,CMP_RVP-INT-PRC-090X090-BGE-RTF-ACT,M2
90,CMP_RVP-INT-PRC-090X090-MMR-RTF-PLD,M2
91,CMP_RVP-INT-RVC-060X030-BRN-RTF-ACT,M2
92,CMP_SUP-ALV-VED-CER-009,M2
93,CMP_SUP-ALV-VED-CER-014,M2
94,CMP_SUP-PIL-CCT-CIR-040,ML
95,CMP_SUP-REV-GRN-CLR-ESC,M2
96,CMP_SUP-SOL-BOX-GNT-CLR,ML
97,CMP_SUP-SOL-PRT-GNT-PSG,ML
98,CMP_SUP_ESC-CCT-ARM,ML
99,CMP_SUP_LAJ-CON-TRL-012,M2
100,CMP_SUP_LAJ-CON-TRL-012-INC,M2
101,CMP_SUP_LAJ-IMP,M2
102,CMP_TRN-LPZ-CTT,M2
103,CMP_TRN-TER-ATR,M3
