,item,referencia,tipo,codigo,descricao,unid,quantidade,bdi,preco_material_unitario,preco_material_total,preco_execucao_unitario,preco_execucao_total,preco_unitario,preço_total,Titulo,primeiro,segundo,terceiro
2,1.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-SON,SONDAGEM,VB,1,"0,0%",0.0,0.0,3000.0,3000.0,3000.0,3000.0,Projeto 3 - Je2,1,1,1
4,1.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-LVT,LEVANTAMENTO TOPOGRAFICO,VB,2,"0,0%",0.0,0.0,1200.0,2400.0,1200.0,2400.0,Projeto 3 - Je2,1,2,1
6,1.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-ART,TAXA ART,VB,2,"0,0%",0.0,0.0,88.78,177.56,88.78,177.56,Projeto 3 - Je2,1,3,1
8,1.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-RRT,TAXA RRT,VB,1,"0,0%",0.0,0.0,108.69,108.69,108.69,108.69,Projeto 3 - Je2,1,4,1
9,1.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-IMP,CUSTOS DE IMPRESAO E PLOTAGEM,VB,1,"0,0%",0.0,0.0,800.0,800.0,800.0,800.0,Projeto 3 - Je2,1,4,2
10,1.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-PRT,TAXA PROTOCOLO,VB,1,"0,0%",0.0,0.0,800.0,800.0,800.0,800.0,Projeto 3 - Je2,1,4,3
11,1.4.4,MKS_COMPOSICOES,COMPOSICAO,CMP_EPO-TAX-APR,APROVACAO DE PROJETOS E TAXAS,VB,1,"0,0%",0.0,0.0,2000.0,2000.0,2000.0,2000.0,Projeto 3 - Je2,1,4,4
14,2.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CDA-EQM,CONDICAO DE ACESSO DE EQUIPAMENTOS E MATERIAIS,VB,"4,8","0,0%",0.0,0.0,2000.0,9600.0,2000.0,9600.0,Projeto 3 - Je2,2,1,1
16,2.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-TPM,INSTALACAO DE TAPUME,ML,90,"0,0%",95.34,8580.6,11.0,990.0,106.34,9570.6,Projeto 3 - Je2,2,2,1
18,2.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-LPZ-CTT,LIMPEZA DA CAMADA VEGETAL DO LOTE,M2,500,"0,0%",0.0,0.0,11.2,5600.0,11.2,5600.0,Projeto 3 - Je2,2,3,1
20,2.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-H20,CONSUMO DE AGUA DURANTE A OBRA,VB,"4,8","0,0%",200.0,960.0,0.0,0.0,200.0,960.0,Projeto 3 - Je2,2,4,1
21,2.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CSM-ELE,CONSUMO DE ENERGIA DURANTE A OBRA,VB,"4,8","0,0%",400.0,1920.0,0.0,0.0,400.0,1920.0,Projeto 3 - Je2,2,4,2
22,2.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-BWC-PRV,BANHEIRO PROVISORIO,VB,"4,8","0,0%",0.0,0.0,1500.0,7200.0,1500.0,7200.0,Projeto 3 - Je2,2,4,3
23,2.4.4,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CCB-GRS,CACAMBAS E GESTAO DE RESIDUOS,VB,"4,8","0,0%",0.0,0.0,1250.0,6000.0,1250.0,6000.0,Projeto 3 - Je2,2,4,4
24,2.4.5,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-CON-MTR,CONTAINER PARA MATERIAL,VB,"4,8","0,0%",0.0,0.0,1200.0,5760.0,1200.0,5760.0,Projeto 3 - Je2,2,4,5
25,2.4.6,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-EPI-5PS,EPI E PEC PARA TIME DE 5 PESSOAS,VB,"4,8","0,0%",0.0,0.0,2000.0,9600.0,2000.0,9600.0,Projeto 3 - Je2,2,4,6
27,2.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INS-PRV,INSTALACOES PROVISORIAS DE AGUA E ENERGIA,VB,1,"0,0%",0.0,0.0,100.0,100.0,100.0,100.0,Projeto 3 - Je2,2,5,1
29,2.6.1,MKS_COMPOSICOES,COMPOSICAO,CMP_CTO-INS-PLO,INSTALACAO DE PLACA DE OBRA,VB,1,"0,0%",300.0,300.0,0.0,0.0,300.0,300.0,Projeto 3 - Je2,2,6,1
32,3.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_TRN-TER-ATR,ATERRO,M3,350,"0,0%",0.0,0.0,30.84,10793.48,30.84,10793.48,Projeto 3 - Je2,3,1,1
34,3.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-MTS,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - METRO QUADRADO,M2,425,"0,0%",44.0,18700.0,35.0,14875.0,79.0,33575.0,Projeto 3 - Je2,3,2,1
35,3.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_LIG-INF-CDM-UNI,LIGACOES ELETRICAS E HIDROSSANITARIAS EM CONDOMINIO - UNITARIO,VB,1,"0,0%",3500.0,3500.0,0.0,0.0,3500.0,3500.0,Projeto 3 - Je2,3,2,2
37,3.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-FUN-012-RAD-TEL,CONCRETAGEM DE FUNDACAO DE RADIER COM TELA DE ACO,M2,"378,31","0,0%",126.76,47953.82,85.0,32156.35,211.76,80110.17,Projeto 3 - Je2,3,3,1
39,3.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_MUR-BLA-260,"MURO DE BLOCO APARENTE; H2,6M",ML,"139,32","0,0%",356.02,49600.09,260.0,36223.2,616.02,85823.29,Projeto 3 - Je2,3,4,1
40,3.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_REB-MUR,REBOCO DE MURO,M2,"341,63","0,0%",13.84,4728.16,25.0,8540.75,38.84,13268.91,Projeto 3 - Je2,3,4,2
41,3.4.3,MKS_COMPOSICOES,COMPOSICAO,CMP_PIN-MUR-TEX,TEXTURA ROLADA PARA MURO - BRANCA,M2,"341,82","0,0%",7.04,2405.39,23.0,7861.86,30.04,10267.25,Projeto 3 - Je2,3,4,3
44,4.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-EST-TLD-SOB-FIB,ESTRUTURA DE TELHADO PARA SOBRADO COM FIBROCIMENTO,M2,"130,17","0,0%",158.51,20633.57,65.0,8461.05,223.51,29094.62,Projeto 3 - Je2,4,1,1
46,4.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"29,44","0,0%",121.66,3581.67,0.0,0.0,121.66,3581.67,Projeto 3 - Je2,4,2,1
47,4.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_COB-CLH-RUF-BRC,CALHAS E RUFOS COM PINTURA ELETROSTATICA COR BRANCO,ML,"73,17","0,0%",121.66,8901.86,0.0,0.0,121.66,8901.86,Projeto 3 - Je2,4,2,2
50,5.1.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-ALV-VED-CER-014,ALVENARIA DE VEDACAO DE BLOCO CERAMICO 014,M2,"581,76","0,0%",134.19,78065.68,80.0,46540.8,214.19,124606.48,Projeto 3 - Je2,5,1,1
52,5.2.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-CON-TRL-012,CONCRETAGEM E DESFORMA - LAJE PRE FABRICADA TRELICADA,M2,"441,83","0,0%",265.31,117221.55,100.0,44183.0,365.31,161404.55,Projeto 3 - Je2,5,2,1
53,5.2.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_LAJ-IMP,IMPERMEABILIZACAO DE LAJE,M2,"35,04","0,0%",70.04,2454.03,100.0,3504.0,170.04,5958.03,Projeto 3 - Je2,5,2,2
55,5.3.1,MKS_COMPOSICOES,COMPOSICAO,CMP_INF-VIG-BRD-020X040,CONCRETAGEM E DESFORMA - VIGA DE BORDO; 20X40CM,ML,"90,87","0,0%",105.26,9564.81,50.0,4543.5,155.26,14108.31,Projeto 3 - Je2,5,3,1
57,5.4.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-PIL-CCT-CIR-040,PILAR CIRCULAR EM CONCRETO DIAMETRO 40 CM,ML,"12,8","0,0%",503.53,6445.18,300.0,3840.0,803.53,10285.18,Projeto 3 - Je2,5,4,1
58,5.4.2,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP-PIL-CCT-CIR-040,PILAR CIRCULAR EM CONCRETO DIAMETRO 40 CM,ML,"12,6","0,0%",503.53,6344.48,300.0,3780.0,803.53,10124.48,Projeto 3 - Je2,5,4,2
60,5.5.1,MKS_COMPOSICOES,COMPOSICAO,CMP_SUP_ESC-CCT-ARM,ESCADA EM CONCRETO ARMADO,ML,"4,22","0,0%",602.87,2544.09,300.0,1266.0,902.87,3810.09,Projeto 3 - Je2,5,5,1
